tranxData,block_num,txnid,status,key,createdAt,updatedAt,submittedby,lastactivitytimestamp,iswarning,iscritical,documenttype,ecommbusinesscode,orgtype,orderno,invoiceno,documentno,currentstage,laststage,retrycount,errors,pickedby,regimetype,declarationtype,customstatus,pickedtimestamp,authorizeddeclarant,errortype,requestid,retryrequired,ecombusinesscode,customsstatus,__collection,id,direction,ismanualretry,logisticprovider,channelidentifier
"{""_id"":""7e6d38c0-dc10-11f0-a197-076b2a14f8441"",""BODID"":""7e6d38c0-dc10-11f0-a197-076b2a14f8441"",""Key"":""7e6d38c0-dc10-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1766062385336,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1766062385336,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1766062385336,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002010552"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1766062385336,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE11843504"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,7e6d38c0-dc10-11f0-a197-076b2a14f8441,VALID,7e6d38c0-dc10-11f0-a197-076b2a14f8441,2025-12-18 12:53:05.336+00,2025-12-18 12:56:54.108+00,,1766062385336,f,f,DECLARATION,AE-1137349,"",FCUAE11843504,FC2526C002010552,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5383061,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""7f269db0-dc10-11f0-a197-076b2a14f8441"",""BODID"":""7f269db0-dc10-11f0-a197-076b2a14f8441"",""Key"":""7f269db0-dc10-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1766062386763,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1766062386763,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1766062386763,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002010366"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1766062386763,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE11849798"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,7f269db0-dc10-11f0-a197-076b2a14f8441,VALID,7f269db0-dc10-11f0-a197-076b2a14f8441,2025-12-18 12:53:06.763+00,2025-12-18 12:56:57.089+00,,1766062386763,f,f,DECLARATION,AE-1137349,"",FCUAE11849798,FC2526C002010366,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5383062,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""805532a0-dc10-11f0-a197-076b2a14f8441"",""BODID"":""805532a0-dc10-11f0-a197-076b2a14f8441"",""Key"":""805532a0-dc10-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1766062388528,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1766062388528,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1766062388528,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002008333"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1766062388528,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE11866362"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,805532a0-dc10-11f0-a197-076b2a14f8441,VALID,805532a0-dc10-11f0-a197-076b2a14f8441,2025-12-18 12:53:08.528+00,2025-12-18 12:57:15.05+00,,1766062388528,f,f,DECLARATION,AE-1137349,"",FCUAE11866362,FC2526C002008333,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5383063,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""820b2000-dc10-11f0-a197-076b2a14f8441"",""BODID"":""820b2000-dc10-11f0-a197-076b2a14f8441"",""Key"":""820b2000-dc10-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1766062391266,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1766062391266,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1766062391266,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002010980"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1766062391266,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE11857434"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,820b2000-dc10-11f0-a197-076b2a14f8441,VALID,820b2000-dc10-11f0-a197-076b2a14f8441,2025-12-18 12:53:11.266+00,2025-12-18 12:57:15.192+00,,1766062391266,f,f,DECLARATION,AE-1137349,"",FCUAE11857434,FC2526C002010980,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5383064,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""82ae16c0-dc10-11f0-a197-076b2a14f8441"",""BODID"":""82ae16c0-dc10-11f0-a197-076b2a14f8441"",""Key"":""82ae16c0-dc10-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1766062392192,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1766062392192,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1766062392192,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002010833"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1766062392192,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE11854158"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,82ae16c0-dc10-11f0-a197-076b2a14f8441,VALID,82ae16c0-dc10-11f0-a197-076b2a14f8441,2025-12-18 12:53:12.192+00,2025-12-18 12:57:15.192+00,,1766062392192,f,f,DECLARATION,AE-1137349,"",FCUAE11854158,FC2526C002010833,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5383065,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""811463f0-dc10-11f0-a197-076b2a14f8441"",""BODID"":""811463f0-dc10-11f0-a197-076b2a14f8441"",""Key"":""811463f0-dc10-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1766062389850,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1766062389850,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1766062389850,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002011111"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1766062389850,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE11831096"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,811463f0-dc10-11f0-a197-076b2a14f8441,VALID,811463f0-dc10-11f0-a197-076b2a14f8441,2025-12-18 12:53:09.85+00,2025-12-18 12:57:15.178+00,,1766062389850,f,f,DECLARATION,AE-1137349,"",FCUAE11831096,FC2526C002011111,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5383066,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""83310260-dc10-11f0-a197-076b2a14f8441"",""BODID"":""83310260-dc10-11f0-a197-076b2a14f8441"",""Key"":""83310260-dc10-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1766062393180,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1766062393180,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1766062393180,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002010504"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1766062393180,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE11867094"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,83310260-dc10-11f0-a197-076b2a14f8441,VALID,83310260-dc10-11f0-a197-076b2a14f8441,2025-12-18 12:53:13.18+00,2025-12-18 12:57:15.556+00,,1766062393180,f,f,DECLARATION,AE-1137349,"",FCUAE11867094,FC2526C002010504,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5383067,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""83ecb140-dc10-11f0-a197-076b2a14f8441"",""BODID"":""83ecb140-dc10-11f0-a197-076b2a14f8441"",""Key"":""83ecb140-dc10-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1766062394404,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1766062394404,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1766062394404,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002010494"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1766062394404,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE11854469"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,83ecb140-dc10-11f0-a197-076b2a14f8441,VALID,83ecb140-dc10-11f0-a197-076b2a14f8441,2025-12-18 12:53:14.404+00,2025-12-18 12:57:18.435+00,,1766062394404,f,f,DECLARATION,AE-1137349,"",FCUAE11854469,FC2526C002010494,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5383068,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""84b6b800-dc10-11f0-a197-076b2a14f8441"",""BODID"":""84b6b800-dc10-11f0-a197-076b2a14f8441"",""Key"":""84b6b800-dc10-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1766062395649,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1766062395649,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1766062395649,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002010917"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1766062395649,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE11869890"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,84b6b800-dc10-11f0-a197-076b2a14f8441,VALID,84b6b800-dc10-11f0-a197-076b2a14f8441,2025-12-18 12:53:15.649+00,2025-12-18 12:57:21.317+00,,1766062395649,f,f,DECLARATION,AE-1137349,"",FCUAE11869890,FC2526C002010917,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5383069,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""a8d73930-dc10-11f0-a197-076b2a14f8441"",""BODID"":""a8d73930-dc10-11f0-a197-076b2a14f8441"",""Key"":""a8d73930-dc10-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1766062456398,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1766062456398,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1766062456398,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C001999046"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1766062456398,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE11870162_1"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,a8d73930-dc10-11f0-a197-076b2a14f8441,VALID,a8d73930-dc10-11f0-a197-076b2a14f8441,2025-12-18 12:54:16.398+00,2025-12-18 12:57:49.43+00,,1766062456398,f,f,DECLARATION,AE-1137349,"",FCUAE11870162_1,FC2526C001999046,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5383078,1,f,AE-1137349,firstcryecomchannel
