tranxData,block_num,txnid,status,key,createdAt,updatedAt,submittedby,lastactivitytimestamp,iswarning,iscritical,documenttype,ecommbusinesscode,orgtype,orderno,invoiceno,documentno,currentstage,laststage,retrycount,errors,pickedby,regimetype,declarationtype,customstatus,pickedtimestamp,authorizeddeclarant,errortype,requestid,retryrequired,ecombusinesscode,customsstatus,__collection,id,direction,ismanualretry,logisticprovider,channelidentifier
"{""_id"":""3b889760-ec33-11f0-a197-076b2a14f8441"",""BODID"":""3b889760-ec33-11f0-a197-076b2a14f8441"",""Key"":""3b889760-ec33-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1767836523487,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1767836523487,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1767836523487,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002165212"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1767836523487,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE12088489"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,3b889760-ec33-11f0-a197-076b2a14f8441,VALID,3b889760-ec33-11f0-a197-076b2a14f8441,2026-01-08 01:42:03.487+00,2026-01-08 02:02:34.773+00,,1767836523487,f,f,DECLARATION,AE-1137349,"",FCUAE12088489,FC2526C002165212,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5690262,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""3ba37260-ec33-11f0-a197-076b2a14f8441"",""BODID"":""3ba37260-ec33-11f0-a197-076b2a14f8441"",""Key"":""3ba37260-ec33-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1767836523663,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1767836523663,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1767836523663,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002165692"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1767836523663,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE12083435"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,3ba37260-ec33-11f0-a197-076b2a14f8441,VALID,3ba37260-ec33-11f0-a197-076b2a14f8441,2026-01-08 01:42:03.663+00,2026-01-08 02:02:41.591+00,,1767836523663,f,f,DECLARATION,AE-1137349,"",FCUAE12083435,FC2526C002165692,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5690263,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""3bbdd830-ec33-11f0-a197-076b2a14f8441"",""BODID"":""3bbdd830-ec33-11f0-a197-076b2a14f8441"",""Key"":""3bbdd830-ec33-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1767836523845,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1767836523845,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1767836523845,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002160484"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1767836523845,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE12009255"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,3bbdd830-ec33-11f0-a197-076b2a14f8441,VALID,3bbdd830-ec33-11f0-a197-076b2a14f8441,2026-01-08 01:42:03.845+00,2026-01-08 02:02:47.932+00,,1767836523845,f,f,DECLARATION,AE-1137349,"",FCUAE12009255,FC2526C002160484,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5690264,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""3bde0a60-ec33-11f0-a197-076b2a14f8441"",""BODID"":""3bde0a60-ec33-11f0-a197-076b2a14f8441"",""Key"":""3bde0a60-ec33-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1767836524047,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1767836524047,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1767836524047,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002164345"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1767836524047,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE11053646"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,3bde0a60-ec33-11f0-a197-076b2a14f8441,VALID,3bde0a60-ec33-11f0-a197-076b2a14f8441,2026-01-08 01:42:04.047+00,2026-01-08 02:02:54.175+00,,1767836524047,f,f,DECLARATION,AE-1137349,"",FCUAE11053646,FC2526C002164345,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5690265,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""3bf93380-ec33-11f0-a197-076b2a14f8441"",""BODID"":""3bf93380-ec33-11f0-a197-076b2a14f8441"",""Key"":""3bf93380-ec33-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1767836524228,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1767836524228,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1767836524228,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002161396"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1767836524228,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE12043327"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,3bf93380-ec33-11f0-a197-076b2a14f8441,VALID,3bf93380-ec33-11f0-a197-076b2a14f8441,2026-01-08 01:42:04.228+00,2026-01-08 02:03:01.144+00,,1767836524228,f,f,DECLARATION,AE-1137349,"",FCUAE12043327,FC2526C002161396,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5690266,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""82da09a0-ec33-11f0-a197-076b2a14f8441"",""BODID"":""82da09a0-ec33-11f0-a197-076b2a14f8441"",""Key"":""82da09a0-ec33-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1767836643144,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1767836643144,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1767836643144,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002165098"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1767836643144,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE12077728"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,82da09a0-ec33-11f0-a197-076b2a14f8441,VALID,82da09a0-ec33-11f0-a197-076b2a14f8441,2026-01-08 01:44:03.144+00,2026-01-08 02:04:28.758+00,,1767836643144,f,f,DECLARATION,AE-1137349,"",FCUAE12077728,FC2526C002165098,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5690280,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""3c114f60-ec33-11f0-a197-076b2a14f8441"",""BODID"":""3c114f60-ec33-11f0-a197-076b2a14f8441"",""Key"":""3c114f60-ec33-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1767836524385,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1767836524385,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1767836524385,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002167075"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1767836524385,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE12079300"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,3c114f60-ec33-11f0-a197-076b2a14f8441,VALID,3c114f60-ec33-11f0-a197-076b2a14f8441,2026-01-08 01:42:04.385+00,2026-01-08 02:03:08.097+00,,1767836524385,f,f,DECLARATION,AE-1137349,"",FCUAE12079300,FC2526C002167075,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5690267,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""3c304910-ec33-11f0-a197-076b2a14f8441"",""BODID"":""3c304910-ec33-11f0-a197-076b2a14f8441"",""Key"":""3c304910-ec33-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1767836524586,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1767836524586,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1767836524586,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002164322"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1767836524586,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE12086588"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,3c304910-ec33-11f0-a197-076b2a14f8441,VALID,3c304910-ec33-11f0-a197-076b2a14f8441,2026-01-08 01:42:04.586+00,2026-01-08 02:03:14.88+00,,1767836524586,f,f,DECLARATION,AE-1137349,"",FCUAE12086588,FC2526C002164322,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5690268,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""5ee887b0-ec33-11f0-a197-076b2a14f8441"",""BODID"":""5ee887b0-ec33-11f0-a197-076b2a14f8441"",""Key"":""5ee887b0-ec33-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1767836582840,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1767836582840,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1767836582840,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002160794"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1767836582840,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE12086130"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,5ee887b0-ec33-11f0-a197-076b2a14f8441,VALID,5ee887b0-ec33-11f0-a197-076b2a14f8441,2026-01-08 01:43:02.84+00,2026-01-08 02:03:51.329+00,,1767836582840,f,f,DECLARATION,AE-1137349,"",FCUAE12086130,FC2526C002160794,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5690269,1,f,AE-1137349,firstcryecomchannel
"{""_id"":""5f047420-ec33-11f0-a197-076b2a14f8441"",""BODID"":""5f047420-ec33-11f0-a197-076b2a14f8441"",""Key"":""5f047420-ec33-11f0-a197-076b2a14f8441"",""actionBy"":""AE-1137349"",""authorizedDeclarant"":""AE-1137349"",""authorized_Declarant"":""AE-1137349"",""channelIdentifier"":""firstcryecomchannel"",""claimDeclarationNo"":"""",""createdAt"":1767836583021,""currentStage"":""W"",""customsStatus"":"""",""customsSubmissionResponse"":"""",""declarationClearedTime"":"""",""declarationType"":""102"",""direction"":""1"",""documentName"":""documenttrackings"",""documentNo"":"""",""documentType"":""DECLARATION"",""documents"":null,""ecomBusinessCode"":""AE-1137349"",""errorType"":"""",""errors"":"""",""funcKey"":""FZ_UAE_false_ALL"",""history"":[{""actionBy"":""AE-1137349"",""actionTimeStamp"":1767836583021,""currentStage"":""W"",""customsSubmissionResponse"":"""",""description"":""Waiting for generation"",""previousJsonResponse"":"""",""receivedTime"":1767836583021,""retryCount"":0,""status"":""""}],""invoiceNo"":""FC2526C002166920"",""isAmended"":true,""isExited"":false,""isGatePassAppFinder"":""3"",""isGatePassApplicable"":false,""isNRClaim"":false,""kvp"":null,""lastActivityTimeStamp"":1767836583021,""lastStage"":"""",""logistic_Provider"":""AE-1137349"",""orderNo"":""FCUAE11975280"",""orgType"":"""",""platformRequestNumber"":"""",""regimeType"":""1"",""requestID"":"""",""responseJSONPayload"":"""",""retryCount"":0,""returnRequestNo"":"""",""shippingParameterID"":"""",""signature"":"""",""transportDocumentNo"":""AE9105441"",""__collection"":""documenttracking""}",1000,5f047420-ec33-11f0-a197-076b2a14f8441,VALID,5f047420-ec33-11f0-a197-076b2a14f8441,2026-01-08 01:43:03.021+00,2026-01-08 02:03:54.926+00,,1767836583021,f,f,DECLARATION,AE-1137349,"",FCUAE11975280,FC2526C002166920,"",W,"",0,"",,1,102,"",,AE-1137349,"","",f,,,documenttracking,5690270,1,f,AE-1137349,firstcryecomchannel
